,customer_id,customername,city,state
0,1,David Padilla,Miami,Florida
1,2,Connor Morgan,Chicago,Illinois
2,3,Robert Stone,Buffalo,New York
3,4,John Fields,Orlando,Florida
4,5,Clayton Smith,Miami,Florida
5,6,Richard Kelley,Los Angeles,California
6,7,Jacqueline Hubbard,New York City,New York
7,8,Jessica Anderson,New York City,New York
8,9,Mary Taylor,Orlando,Florida
9,10,Walter Crawford,Springfield,Illinois
10,11,Lawrence Robinson,Rochester,New York
11,12,Douglas Pennington,Dallas,Texas
12,13,Ricardo Andrews,San Diego,California
13,14,Paul Raymond,San Diego,California
14,15,Karen Johnson,Rochester,New York
15,16,Juan Erickson,Austin,Texas
16,17,Alexander Reed,New York City,New York
17,18,Jacqueline Harris,San Francisco,California
18,19,Tyler Park,San Francisco,California
19,20,Richard Wolfe,Columbus,Ohio
20,21,Sierra Rios,Orlando,Florida
21,22,Jessica Richardson,San Diego,California
22,23,Kimberly Warren,Cincinnati,Ohio
23,24,Casey Garcia,Orlando,Florida
24,25,Denise Hampton,San Francisco,California
25,26,Justin Rodriguez,Cleveland,Ohio
26,27,Ms. Emily Baxter,Rochester,New York
27,28,Austin White,Los Angeles,California
28,29,Morgan Montes,San Diego,California
29,30,Christine Mosley,Cincinnati,Ohio
30,31,Ashley Rodriguez,Austin,Texas
31,32,Elizabeth King,Dallas,Texas
32,33,Connie Holmes,Cincinnati,Ohio
33,34,Melissa Peck,Miami,Florida
34,35,David Smith,Orlando,Florida
35,36,Jacqueline Harris,Houston,Texas
36,37,Heather Jenkins,Buffalo,New York
37,38,Kelsey Castaneda,Cleveland,Ohio
38,39,Katherine Harris,Los Angeles,California
39,40,Paul Rogers,Miami,Florida
40,41,Jon Banks,Tampa,Florida
41,42,Michelle Williams,Buffalo,New York
42,43,Andrew Allen,San Diego,California
43,44,Vanessa Bauer,Buffalo,New York
44,45,Sean Smith,Cleveland,Ohio
45,46,Shelly Sweeney,New York City,New York
46,47,Emily Gill,Springfield,Illinois
47,48,Brian Patrick,Tampa,Florida
48,49,Dr. Sarah Booth,Cincinnati,Ohio
49,50,Douglas Mcfarland,Cleveland,Ohio
50,51,Kayla Ross,Peoria,Illinois
51,52,Marc Strickland,Orlando,Florida
52,53,Charlene Brown,Miami,Florida
53,54,Charles Smith,Columbus,Ohio
54,55,Karen Townsend,Houston,Texas
55,56,Steven Cox,Los Angeles,California
56,57,Cynthia Rodriguez,Rochester,New York
57,58,Jessica Baker,Austin,Texas
58,59,Mark Blackburn,Dallas,Texas
59,60,Zachary Perez,Austin,Texas
60,61,Brian Green,San Diego,California
61,62,Becky Leach,Miami,Florida
62,63,Bryan Russell,Dallas,Texas
63,64,Tony Maddox,San Francisco,California
64,65,Jason Randolph,San Francisco,California
65,66,Laura Andrews,New York City,New York
66,67,Mrs. Stephanie Hooper,San Francisco,California
67,68,Anthony Evans,Cleveland,Ohio
68,69,Patrick Williams,Rochester,New York
69,70,Susan Burke,Austin,Texas
70,71,Brent Hernandez,Rochester,New York
71,72,Sean Elliott,San Francisco,California
72,73,Wanda West,Cleveland,Ohio
73,74,Renee Solomon,Tampa,Florida
74,75,Daryl Miles,Orlando,Florida
75,76,Michael Hunt,Dallas,Texas
76,77,Adam Clark,San Francisco,California
77,78,Amy Olsen,Springfield,Illinois
78,79,Stacey Miller,San Diego,California
79,80,Daniel Mosley,Los Angeles,California
80,81,Monica Gibson,Springfield,Illinois
81,82,Christopher Jordan,Columbus,Ohio
82,83,Christina Davis,Chicago,Illinois
83,84,Claudia Curry,Austin,Texas
84,85,Brandon Anderson,Austin,Texas
85,86,George Foster,Dallas,Texas
86,87,Nicholas Anderson,Orlando,Florida
87,88,Emily Ellison,Los Angeles,California
88,89,Darren Perez,Austin,Texas
89,90,Michelle Hunter,Cincinnati,Ohio
90,91,Janet Guerrero,Rochester,New York
91,92,Jeffrey Kline,Miami,Florida
92,93,Ryan Bullock,Tampa,Florida
93,94,Tom Lawson,Buffalo,New York
94,95,Rebecca Smith,Dallas,Texas
95,96,William Welch,Orlando,Florida
96,97,Mr. Curtis Bailey,Tampa,Florida
97,98,Janet Carlson,Miami,Florida
98,99,Spencer Spears,Chicago,Illinois
99,100,Jeffrey Middleton,Buffalo,New York
100,101,Veronica Kelley,Orlando,Florida
101,102,Leslie Bean,Springfield,Illinois
102,103,Amy Wilson,Los Angeles,California
103,104,Susan Ramirez,Cleveland,Ohio
104,105,Jacob Meyer,Peoria,Illinois
105,106,Scott Lewis,Houston,Texas
106,107,Eric Griffith,Chicago,Illinois
107,108,Anna Ferguson,San Francisco,California
108,109,David Figueroa,Miami,Florida
109,110,Theresa Medina,Springfield,Illinois
110,111,Mary Smith,Miami,Florida
111,112,Lance Cain,Tampa,Florida
112,113,Alexandra Moran,San Francisco,California
113,114,Sara Castro,Chicago,Illinois
114,115,Shawn Leach,Peoria,Illinois
115,116,Mark Boyle,Buffalo,New York
116,117,John Stevens,San Francisco,California
117,118,Lisa Graham,Peoria,Illinois
118,119,Nancy Jones,Cleveland,Ohio
119,120,Darryl Robbins,Peoria,Illinois
120,121,Kimberly Smith,Springfield,Illinois
121,122,Maria Thomas,Miami,Florida
122,123,Nicholas Johnson,Dallas,Texas
123,124,Dawn Howard,Houston,Texas
124,125,Jennifer Marshall,San Francisco,California
125,126,Frank Garcia,Buffalo,New York
126,127,Terri Madden,Rochester,New York
127,128,James Gutierrez,Rochester,New York
128,129,Morgan Sellers,Los Angeles,California
129,130,Caitlin Thomas,New York City,New York
130,131,Kimberly Greene,Orlando,Florida
131,132,Tammy Anthony,Cleveland,Ohio
132,133,Jennifer Chase,Buffalo,New York
133,134,Cassandra Farley,Orlando,Florida
134,135,Justin Vasquez,Houston,Texas
135,136,Melissa Morales,Houston,Texas
136,137,Tyler Thompson,Dallas,Texas
137,138,Heidi Davis,Buffalo,New York
138,139,Charles Lane,Dallas,Texas
139,140,Joyce Good MD,Miami,Florida
140,141,Maria Miller,Buffalo,New York
141,142,Terry Mcdaniel,Cincinnati,Ohio
142,143,Lisa Jacobs,Buffalo,New York
143,144,Jeff Duncan,Cincinnati,Ohio
144,145,Pamela Jones,New York City,New York
145,146,Renee Robinson,Columbus,Ohio
146,147,Jessica Kidd,Buffalo,New York
147,148,Nicholas Martin,Tampa,Florida
148,149,David Brown,Peoria,Illinois
149,150,Amber Moore,New York City,New York
150,151,James Williams,San Francisco,California
151,152,Karina Barr,Dallas,Texas
